timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageCN
2022-09-30T18:42:21.381Z,234
2022-09-30T18:47:21.330Z,234
2022-09-30T18:52:21.422Z,234
2022-09-30T18:57:20.425Z,234
2022-09-30T19:02:21.314Z,234
2022-09-30T19:07:21.350Z,234
2022-09-30T19:12:21.357Z,234
2022-09-30T19:17:21.364Z,234
2022-09-30T19:22:21.475Z,234
2022-09-30T19:27:21.613Z,234
2022-09-30T19:32:21.748Z,234
2022-09-30T19:37:21.439Z,234
2022-09-30T19:42:21.760Z,235
2022-09-30T19:47:21.494Z,234
2022-09-30T19:52:21.450Z,234
2022-09-30T19:57:21.349Z,234
2022-09-30T20:02:21.365Z,234
2022-09-30T20:07:21.384Z,234
2022-09-30T20:12:51.329Z,234
2022-09-30T20:17:21.359Z,234
2022-09-30T20:22:21.750Z,235
2022-09-30T20:27:21.337Z,236
2022-09-30T20:32:21.435Z,236
2022-09-30T20:37:21.350Z,237
2022-09-30T20:42:21.394Z,237
2022-09-30T20:47:21.406Z,236
2022-09-30T20:52:21.353Z,236
2022-09-30T20:57:21.380Z,237
2022-09-30T21:02:21.405Z,237
2022-09-30T21:07:22.573Z,237
2022-09-30T21:12:21.355Z,237
2022-09-30T21:17:21.395Z,237
2022-09-30T21:22:21.392Z,237
2022-09-30T21:27:21.333Z,237
2022-09-30T21:32:21.440Z,237
2022-09-30T21:37:21.349Z,237
2022-09-30T21:42:51.140Z,236
2022-09-30T21:47:21.462Z,238
2022-09-30T21:52:21.348Z,238
2022-09-30T21:57:21.328Z,238
2022-09-30T22:02:21.462Z,237
2022-09-30T22:07:21.338Z,238
2022-09-30T22:12:21.421Z,238
2022-09-30T22:17:21.369Z,238
2022-09-30T22:22:21.372Z,237
2022-09-30T22:27:21.449Z,238
2022-09-30T22:32:21.370Z,237
2022-09-30T22:37:21.333Z,237
2022-09-30T22:42:21.648Z,237
2022-09-30T22:47:21.388Z,237
2022-09-30T22:52:21.403Z,237
2022-09-30T22:57:21.314Z,237
2022-09-30T23:02:21.332Z,237
2022-09-30T23:07:21.452Z,238
2022-09-30T23:12:21.628Z,236
