timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageAN
2022-12-06T03:18:15.322Z,235
2022-12-06T03:23:16.135Z,235
2022-12-06T03:28:15.540Z,236
2022-12-06T03:33:15.227Z,235
2022-12-06T03:38:15.393Z,235
2022-12-06T03:43:15.373Z,236
2022-12-06T03:48:15.933Z,236
2022-12-06T03:53:15.500Z,235
2022-12-06T03:58:15.237Z,235
2022-12-06T04:03:15.276Z,236
2022-12-06T04:08:15.572Z,236
2022-12-06T04:13:15.381Z,236
2022-12-06T04:18:15.259Z,236
2022-12-06T04:23:15.307Z,235
2022-12-06T04:28:15.263Z,235
2022-12-06T04:33:15.295Z,236
2022-12-06T04:38:15.174Z,236
2022-12-06T04:43:15.295Z,236
2022-12-06T04:48:15.476Z,236
2022-12-06T04:53:15.272Z,236
2022-12-06T04:58:15.374Z,237
2022-12-06T05:03:15.167Z,236
2022-12-06T05:08:15.179Z,237
2022-12-06T05:13:15.236Z,236
2022-12-06T05:18:15.478Z,237
2022-12-06T05:23:15.270Z,236
2022-12-06T05:28:15.288Z,236
2022-12-06T05:33:15.335Z,237
2022-12-06T05:38:15.236Z,237
2022-12-06T05:43:15.201Z,235
2022-12-06T05:48:15.459Z,235
2022-12-06T05:53:15.418Z,234
2022-12-06T05:58:15.286Z,234
2022-12-06T06:03:15.433Z,236
2022-12-06T06:08:15.261Z,235
2022-12-06T06:13:15.252Z,235
2022-12-06T06:18:15.299Z,235
2022-12-06T06:23:15.349Z,235
2022-12-06T06:28:15.226Z,235
2022-12-06T06:33:15.401Z,234
2022-12-06T06:38:15.215Z,235
2022-12-06T06:43:15.326Z,235
2022-12-06T06:48:15.364Z,234
2022-12-06T06:53:15.208Z,235
2022-12-06T06:58:15.313Z,235
2022-12-06T07:03:15.254Z,235
2022-12-06T07:08:15.278Z,235
2022-12-06T07:13:15.210Z,235
2022-12-06T07:18:15.386Z,236
2022-12-06T07:23:15.194Z,236
2022-12-06T07:28:15.328Z,236
2022-12-06T07:33:15.328Z,236
2022-12-06T07:38:15.360Z,236
2022-12-06T07:43:15.331Z,236
2022-12-06T07:48:15.210Z,235
2022-12-06T07:53:15.466Z,236
2022-12-06T07:58:15.093Z,236
2022-12-06T08:03:15.265Z,235
2022-12-06T08:08:15.425Z,235
2022-12-06T08:13:15.329Z,236
2022-12-06T08:18:15.310Z,236
2022-12-06T08:23:15.389Z,236
2022-12-06T08:28:15.266Z,236
2022-12-06T08:33:15.205Z,236
2022-12-06T08:38:15.368Z,236
2022-12-06T08:43:15.270Z,236
2022-12-06T08:48:15.357Z,236
2022-12-06T08:53:15.257Z,236
2022-12-06T08:58:15.324Z,236
2022-12-06T09:03:15.559Z,236
2022-12-06T09:08:15.270Z,236
2022-12-06T09:13:15.382Z,236
2022-12-06T09:18:15.405Z,236
2022-12-06T09:23:15.245Z,236
2022-12-06T09:28:15.263Z,236
2022-12-06T09:33:15.171Z,236
2022-12-06T09:38:15.408Z,236
2022-12-06T09:43:15.493Z,236
2022-12-06T09:48:15.295Z,235
2022-12-06T09:53:15.251Z,235
2022-12-06T09:58:15.109Z,235
2022-12-06T10:03:15.410Z,235
2022-12-06T10:08:15.331Z,236
2022-12-06T10:13:15.253Z,236
2022-12-06T10:18:15.264Z,235
2022-12-06T10:23:15.009Z,235
2022-12-06T10:28:15.213Z,235
2022-12-06T10:33:15.461Z,235
2022-12-06T10:38:15.227Z,235
2022-12-06T10:43:15.314Z,235
2022-12-06T10:48:15.281Z,235
2022-12-06T10:53:15.243Z,235
2022-12-06T10:58:15.281Z,235
2022-12-06T11:03:15.280Z,235
2022-12-06T11:08:16.319Z,235
2022-12-06T11:13:15.214Z,235
2022-12-06T11:18:15.338Z,235
2022-12-06T11:23:15.599Z,235
2022-12-06T11:28:15.170Z,235
2022-12-06T11:33:15.413Z,235
2022-12-06T11:38:15.153Z,235
2022-12-06T11:43:15.152Z,235
2022-12-06T11:48:15.386Z,235
2022-12-06T11:53:15.308Z,235
2022-12-06T11:58:15.184Z,234
2022-12-06T12:03:15.208Z,234
2022-12-06T12:08:15.266Z,235
2022-12-06T12:13:15.364Z,234
2022-12-06T12:18:15.201Z,235
2022-12-06T12:23:15.382Z,235
2022-12-06T12:28:15.339Z,235
2022-12-06T12:33:15.265Z,235
2022-12-06T12:38:15.694Z,235
2022-12-06T12:43:15.465Z,234
2022-12-06T12:48:15.299Z,234
2022-12-06T12:53:15.143Z,233
2022-12-06T12:58:15.258Z,233
2022-12-06T13:03:15.274Z,233
2022-12-06T13:08:15.487Z,233
2022-12-06T13:13:15.217Z,234
2022-12-06T13:18:15.237Z,234
2022-12-06T13:23:15.433Z,233
2022-12-06T13:28:15.230Z,233
2022-12-06T13:33:15.116Z,233
2022-12-06T13:38:15.332Z,234
2022-12-06T13:43:15.281Z,234
2022-12-06T13:48:15.147Z,234
2022-12-06T13:53:15.264Z,234
2022-12-06T13:58:15.253Z,234
2022-12-06T14:03:15.307Z,234
2022-12-06T14:08:15.364Z,234
2022-12-06T14:13:15.213Z,233
2022-12-06T14:18:15.269Z,234
2022-12-06T14:23:15.129Z,235
2022-12-06T14:28:15.299Z,234
2022-12-06T14:33:15.362Z,234
2022-12-06T14:38:15.423Z,234
2022-12-06T14:43:15.179Z,232
2022-12-06T14:48:15.271Z,232
2022-12-06T14:53:15.382Z,232
2022-12-06T14:58:15.365Z,234
2022-12-06T15:03:15.351Z,234
2022-12-06T15:08:15.205Z,234
2022-12-06T15:13:15.169Z,234
2022-12-06T15:18:15.334Z,234
2022-12-06T15:23:15.231Z,234
2022-12-06T15:28:15.130Z,235
2022-12-06T15:33:15.302Z,234
2022-12-06T15:38:15.230Z,234
2022-12-06T15:43:15.325Z,234
2022-12-06T15:48:15.292Z,235
2022-12-06T15:53:15.199Z,234
2022-12-06T15:58:15.137Z,234
2022-12-06T16:03:15.221Z,234
2022-12-06T16:08:15.407Z,235
2022-12-06T16:13:15.271Z,235
2022-12-06T16:18:15.163Z,235
2022-12-06T16:23:15.355Z,234
2022-12-06T16:28:15.241Z,234
2022-12-06T16:33:15.270Z,235
2022-12-06T16:38:15.208Z,235
2022-12-06T16:43:15.199Z,235
2022-12-06T16:48:15.345Z,235
2022-12-06T16:53:15.213Z,235
2022-12-06T16:58:15.239Z,236
2022-12-06T17:03:15.427Z,235
2022-12-06T17:08:15.259Z,235
2022-12-06T17:13:15.238Z,235
2022-12-06T17:18:15.234Z,235
2022-12-06T17:23:15.293Z,235
2022-12-06T17:28:15.486Z,236
2022-12-06T17:33:15.221Z,236
2022-12-06T17:38:15.151Z,236
2022-12-06T17:43:15.202Z,236
2022-12-06T17:48:15.340Z,235
2022-12-06T17:53:15.224Z,235
2022-12-06T17:58:15.135Z,235
2022-12-06T18:03:15.288Z,236
2022-12-06T18:08:15.229Z,236
2022-12-06T18:13:15.542Z,236
2022-12-06T18:18:15.323Z,236
2022-12-06T18:23:15.392Z,235
2022-12-06T18:28:15.385Z,236
2022-12-06T18:33:15.391Z,236
2022-12-06T18:38:15.310Z,236
2022-12-06T18:43:15.189Z,236
2022-12-06T18:48:15.171Z,236
2022-12-06T18:53:15.350Z,236
2022-12-06T18:58:15.283Z,236
2022-12-06T19:03:15.396Z,236
2022-12-06T19:08:15.627Z,236
2022-12-06T19:13:15.323Z,236
2022-12-06T19:18:15.024Z,236
2022-12-06T19:23:15.733Z,235
2022-12-06T19:28:15.260Z,235
2022-12-06T19:33:15.214Z,235
2022-12-06T19:38:15.698Z,235
2022-12-06T19:43:15.313Z,235
2022-12-06T19:48:15.138Z,235
2022-12-06T19:53:15.215Z,234
2022-12-06T19:58:15.324Z,235
2022-12-06T20:03:14.936Z,235
2022-12-06T20:08:14.906Z,234
2022-12-06T20:13:15.215Z,234
2022-12-06T20:18:15.215Z,235
2022-12-06T20:23:15.274Z,234
2022-12-06T20:28:15.170Z,236
2022-12-06T20:33:15.240Z,236
2022-12-06T20:38:15.344Z,235
2022-12-06T20:43:15.347Z,235
2022-12-06T20:48:15.421Z,235
2022-12-06T20:53:15.186Z,235
2022-12-06T20:58:15.396Z,235
2022-12-06T21:03:15.139Z,236
2022-12-06T21:08:15.361Z,235
2022-12-06T21:13:15.149Z,235
2022-12-06T21:18:15.186Z,235
2022-12-06T21:23:15.130Z,235
2022-12-06T21:28:15.276Z,235
2022-12-06T21:33:15.350Z,235
2022-12-06T21:38:15.180Z,235
2022-12-06T21:43:15.223Z,235
2022-12-06T21:48:15.227Z,234
2022-12-06T21:53:15.304Z,234
2022-12-06T21:58:15.274Z,234
2022-12-06T22:03:15.295Z,235
2022-12-06T22:08:15.265Z,234
2022-12-06T22:13:15.313Z,234
2022-12-06T22:18:15.372Z,235
2022-12-06T22:23:15.202Z,235
2022-12-06T22:28:15.268Z,235
2022-12-06T22:33:15.392Z,235
2022-12-06T22:38:15.297Z,235
2022-12-06T22:43:15.161Z,235
2022-12-06T22:48:15.360Z,235
2022-12-06T22:53:15.256Z,234
2022-12-06T22:58:15.340Z,235
2022-12-06T23:03:15.135Z,235
2022-12-06T23:08:15.278Z,235
2022-12-06T23:13:15.355Z,235
2022-12-06T23:18:15.357Z,235
2022-12-06T23:23:15.311Z,235
2022-12-06T23:28:15.385Z,234
2022-12-06T23:33:15.299Z,234
2022-12-06T23:38:15.354Z,234
2022-12-06T23:43:15.385Z,234
2022-12-06T23:48:15.327Z,234
2022-12-06T23:53:15.301Z,234
2022-12-06T23:58:15.164Z,234
2022-12-07T00:03:14.910Z,234
2022-12-07T00:07:19.839Z,234
2022-12-07T00:08:15.218Z,234
2022-12-07T00:13:15.260Z,233
2022-12-07T00:18:15.220Z,233
2022-12-07T00:23:15.359Z,233
2022-12-07T00:28:15.301Z,233
2022-12-07T00:33:15.465Z,233
